net,length_um
_06974_,316.3
_07072_,316.05
net490,315.89
u_component_formatter.B_in\[52\],315.65
_06236_,315.635
_00983_,315.39
_04652_,314.82
_06883_,314.64
net809,314.46
net127,313.94
_04709_,313.82
_06688_,313.69
_04978_,313.67
net84,313.62
u_exp_compare.ProdASC\[17\],313.34
u_align.Aligned_C\[59\],313.24
net103,313.2
u_align.Aligned_C\[89\],312.98
_06639_,312.785
net55,312.7
_08472_,312.56
u_exp_compare.ProdASC\[21\],312.36
u_align.Aligned_C\[24\],312.15
_00980_,311.57
_05124_,311.44
_03000_,311.43
_10443_,311.42
_04743_,311.22
u_multiplier.partial_carry\[98\],311.18
_02701_,310.82
_08747_,310.58
_05146_,310.21
net95,309.86
_09798_,309.725
_04364_,309.26
u_align.Aligned_C\[135\],309.18
_06141_,308.87
clknet_4_0__leaf_clk,308.78
_01609_,308.62
_03472_,308.6
_06590_,308.25
_04654_,308.09
_04522_,308.04
_08291_,307.44
net81,306.14
net42,305.55
_05059_,305.32
_09352_,305.06
net57,304.68
u_multiplier.partial_carry\[73\],304.3
net46,304.3
_04655_,304.205
clknet_4_14__leaf_clk,304.06
_04615_,303.55
_06662_,303.345
_07042_,302.79
net28,301.78
_04564_,301.655
_04437_,301.62
_05228_,301.02
_05022_,300.71
net56,300.42
_04689_,300.38
_05249_,299.26
net485,299.06
_04587_,298.985
_06770_,298.545
u_align.ExpDiff\[3\],298.53
_09348_,298.465
_04674_,298.46
net850,298.34
net12,297.78
net728,297.47
_07297_,297.19
net178,297.18
u_multiplier.partial_sum\[14\],296.21
_05806_,295.89
_06552_,295.38
net169,295.26
net76,295.04
_08761_,295.01
_06643_,294.99
_01637_,294.96
u_align.Aligned_C\[47\],294.4
_11050_,294.135
_05309_,293.96
u_component_formatter.B_in\[57\],293.51
_04634_,293.15
_04509_,292.82
u_align.Aligned_C\[8\],292.78
_03157_,292.64
_05357_,292.62
net86,292.38
u_component_formatter.B_in\[60\],292.02
_04586_,291.24
_10347_,291.11
_11013_,290.96
net24,290.7
_08601_,289.48
_08949_,289.03
_05295_,288.88
_05254_,288.81
_03322_,288.57
_11205_,288.28
_05697_,288.16
_09242_,287.955
u_align.Aligned_C\[84\],287.89
_09989_,287.75
_06383_,287.68
u_exp_compare.MaxExp\[1\],287.52
_10490_,287.03
u_exp_compare.ProdASC\[37\],286.185
net49,285.12
_12700_,285.115
_04505_,284.97
_08112_,284.955
u_component_formatter.A_in\[24\],284.82
_06881_,284.13
u_multiplier.partial_sum\[59\],283.87
_04386_,283.765
_10928_,283.58
_09310_,282.95
u_component_formatter.B_in\[54\],282.9
_05667_,282.82
_11051_,282.67
_08820_,282.59
_09141_,282.48
net403,282.02
clknet_4_1__leaf_clk,281.71
_04443_,281.62
net89,281.34
u_exp_compare.ProdASC\[35\],281.3
u_align.Aligned_C\[152\],281.19
_03454_,280.82
net51,280.54
_03524_,280.49
u_align.Aligned_C\[20\],280.38
_05882_,280.28
_05824_,280.22
_02528_,279.92
_05064_,279.71
u_multiplier.partial_carry\[34\],279.6
_04298_,279.54
u_multiplier.partial_carry\[24\],279.28
_04240_,279.235
_06388_,279.03
u_component_formatter.B_in\[14\],278.87
_04979_,278.2
_04462_,277.87
_05507_,277.66
net121,277.6
_06719_,277.595
net123,277.38
_03400_,277.17
clknet_4_8__leaf_clk,277.1
u_component_formatter.A_in\[31\],277.04
clknet_4_3__leaf_clk,276.69
_06203_,276.535
_03547_,276.47
_06028_,276.25
_00001_,276.2
_06650_,274.91
_03544_,274.82
_03398_,274.68
u_align.Aligned_C\[1\],274.62
u_exp_compare.ProdASC\[58\],274.61
_07888_,274.45
_05992_,274.36
_03789_,274.34
_02540_,274.11
_07117_,273.72
_07311_,273.5
u_multiplier.partial_carry\[42\],273.38
_02773_,273.23
net17,272.94
_01407_,272.85
_02821_,272.8
_03942_,272.61
