net,length_um
u_stage1.Aligned_C\[141\],226.45
u_stage3.LZA_CNT_s3\[12\],226.415
_06831_,226.37
_20860_,226.21
_03310_,226.105
net30,225.9
_04342_,225.79
_06679_,225.72
_04373_,225.695
_01644_,225.47
_04402_,225.36
_11373_,225.36
_06531_,225.28
_00771_,225.22
_16670_,225.22
_15566_,225.18
net383,225.13
_08344_,225.005
_12650_,224.48
u_stage1.A_reg\[43\],224.18
_05442_,224.15
_18191_,224.09
_01894_,223.9
u_stage1.Aligned_C\[159\],223.88
_17213_,223.68
_14262_,223.59
_04604_,223.38
_11976_,223.34
_02239_,223.15
u_stage1.ProdASC\[34\],223.09
_18094_,222.99
_20599_,222.88
net99,222.7
_04100_,222.64
_07712_,222.475
_01286_,222.4
_02987_,222.35
_02021_,222.25
_05029_,222.2
_00979_,222.16
u_stage1.B_reg\[42\],222.16
_15499_,222
_14446_,221.95
net136,221.72
_14272_,221.45
_21003_,221.43
u_stage1.partial_products_sum\[11\],221.385
_14302_,221.38
_07538_,221.32
_01542_,220.955
_14263_,220.94
_11187_,220.64
net397,220.59
_20508_,220.43
_11998_,220.38
_06530_,220.34
_08362_,220.06
_01875_,219.87
_11994_,219.42
_01135_,219.41
_06853_,219.22
_10872_,219
_01195_,218.83
u_stage1.B_reg\[12\],218.75
_15694_,218.725
_05184_,218.69
_20332_,218.445
_14608_,218.3
_17436_,218.265
_06875_,218.2
_10887_,217.77
_11254_,217.725
_05857_,217.66
_17448_,217.645
_03671_,217.37
_07620_,217.06
net40,217
_07277_,216.84
u_stage1.partial_products_sum\[10\],216.45
_02174_,216.36
_04728_,216.32
_07709_,216.24
_11753_,216.15
u_stage1.B_reg\[4\],216.14
_00886_,215.795
net21,215.74
u_stage1.B_reg\[40\],215.67
_04137_,215.59
_01394_,215.37
_07724_,215.37
_21278_,215.33
_20985_,215.3
u_stage1.B_reg\[28\],215.3
_10746_,215.26
_14609_,215.14
_11811_,214.87
u_stage1.B_reg\[46\],214.84
_14661_,214.83
_06136_,214.71
_11884_,214.46
_06470_,214.38
_15524_,213.67
_14599_,213.66
_11131_,213.59
_10756_,213.53
_14698_,213.5
u_stage1.Prec_reg\[2\],213.44
net182,213.06
_01895_,212.72
_03131_,212.7
_18177_,212.6
_09460_,212.56
_19670_,212.525
_07076_,212.52
_10747_,212.51
_12622_,212.5
_06874_,212.45
_01220_,212.44
_11008_,212.365
_14607_,211.84
_02847_,211.79
u_stage1.ProdASC\[49\],211.76
net23,211.64
_12012_,211.48
_20995_,211.38
_11991_,211.31
_14283_,211.255
_14299_,211.185
u_stage4.Result_comb\[2\],211.06
_06139_,210.81
_21259_,210.75
_03306_,210.72
_11203_,210.52
_20440_,210.45
_06570_,210.21
_16007_,210.19
_11901_,209.98
_17292_,209.94
_20383_,209.86
_20914_,209.82
_04583_,209.66
_07596_,209.5
_13820_,209.23
net152,208.98
_10999_,208.8
_11565_,208.76
_17415_,208.75
_17414_,208.58
_20606_,208.495
_14892_,208.22
_01285_,208.1
_20389_,208.1
_10947_,207.93
net281,207.915
_16008_,207.685
_21210_,207.655
_00659_,207.52
_00658_,207.35
_08438_,207.34
_20386_,207.23
_10949_,207.11
_20331_,207.08
u_stage1.B_reg\[52\],207.06
_05267_,206.895
_11227_,206.88
_01896_,206.74
_03129_,206.5
_05355_,206.28
_01139_,205.99
_14744_,205.875
_02554_,205.87
_20521_,205.58
_02351_,205.55
u_stage1.A_reg\[9\],205.36
u_stage1.ProdASC\[50\],205.3
_02175_,205.02
_04401_,204.885
_14602_,204.78
u_stage1.A_reg\[21\],204.605
_19684_,204.585
_05711_,204.36
_02622_,204.32
_20612_,204.28
_01534_,204.16
_16425_,204.04
u_stage1.A_reg\[39\],204.01
_13787_,203.96
u_stage1.B_reg\[25\],203.85
_11135_,203.7
_01057_,203.41
_16048_,203.31
_07461_,203.06
_12597_,202.86
